Nama,Lokasi,Fasilitas,Review,Harga
Kost Dten Homestay Junior,Sukolilo,"K. Mandi Dalam, WiFi, AC, Kloset Duduk, Kasur",-,1200000
Kost Ktt 23 R,Sukolilo,"K. Mandi Dalam, WiFi, AC, Kloset Duduk, Kasur",-,1200000
Kost Bu Antono TMB 7 Tipe A,Mulyorejo,"Kasur, Akses 24 Jam",-,550000
Kost Harsa Martawiryana,Sukolilo,"WiFi, Kloset Duduk, Kasur, Akses 24 Jam",-,800000
Kost Teknik Sipil Blok X,Sukolilo,"WiFi, Kloset Duduk, Akses 24 Jam",-,685000
Kost Goldieast,Sukolilo,"WiFi, AC, Kloset Duduk",-,1700000
Kost ITS Poltek Tipe B,Mulyorejo,"K. Mandi Dalam, WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam",-,1250000
Kost Bu Marina Tipe A,Sukolilo,"WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam",-,1250000
Kost Go 77 Tipe A,Sukolilo,"K. Mandi Dalam, WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam",-,1900000
Kost Stayvie Coliving Panozzanine Sky Loft Single Premium,Mulyorejo,"K. Mandi Dalam, WiFi, AC, Kloset Duduk",-,3000000
Kost Jl Keputih Tegal Timur III B,Sukolilo,"K. Mandi Dalam, WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam",-,1400000
Kost La Koste Its City Home B6,Sukolilo,"K. Mandi Dalam, WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam",-,1950000
Kost Adi 1,Sukolilo,"WiFi, Kloset Duduk, Kasur, Akses 24 Jam",-,800000
Kost Merr 91 Strategis,Sukolilo,"WiFi, AC, Kloset Duduk, Kasur",-,1300000
Kost 23 Bang Dul,Sukolilo,"WiFi, Kasur, Akses 24 Jam",-,700000
Kost Mafaza House Tipe Modern,Sukolilo,"K. Mandi Dalam, WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam",-,1500000
Kost Pak Ran,Sukolilo,"WiFi, Kasur, Akses 24 Jam",-,550000
Kost Blok M Farida,Sukolilo,"K. Mandi Dalam, WiFi, AC, Kasur, Akses 24 Jam",-,1550000
Kost Blok U Farida Tipe A,Sukolilo,"WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam",-,1300000
Kost Mulyosari Mas Tipe A,Mulyorejo,"WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam",-,1500000
Kost Pelajar BME Tipe A,Sukolilo,"K. Mandi Dalam, WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam",-,1850000
Kost HnH Residence Executive,Mulyorejo,"K. Mandi Dalam, WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam",-,2100000
Kost Suem II,Sukolilo,"AC, Kloset Duduk",-,1000000
Kost Stayvie Coliving Panozzanine Sky Loft Compact Single,Mulyorejo,"K. Mandi Dalam, WiFi, AC, Kloset Duduk, Kasur",-,2400000
Kost Bhaskara Sari 9,Mulyorejo,"WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam",-,1500000
Kost Bougenville 4 SPR B21 Junior,Sukolilo,"WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam",-,1150000
Kost Griyaku Deluxe,Sukolilo,"K. Mandi Dalam, WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam",-,1650000
Kost ITS Poltek Tipe Kamar,Mulyorejo,"K. Mandi Dalam, WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam",-,1500000
Kost Dten Homestay Tipe Standard,Sukolilo,"K. Mandi Dalam, WiFi, AC, Kloset Duduk, Kasur",-,1350000
Kost Dten Homestay Tipe Deluxe Prima,Sukolilo,"K. Mandi Dalam, WiFi, AC, Kloset Duduk, Kasur",-,1500000
Kost Dachlan Tipe A,Mulyorejo,"WiFi, Kloset Duduk, Kasur",-,600000
Kost Klampis Semolo Tipe A,Sukolilo,"K. Mandi Dalam, WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam",-,850000
Kost Dten Homestay Pavilliun,Sukolilo,"K. Mandi Dalam, WiFi, AC, Kloset Duduk, Kasur",-,1350000
Kost Ardina House Keputih Tipe B,Sukolilo,"WiFi, Kloset Duduk, Kasur",-,850000
Kost Dten Homestay Tipe VIP,Sukolilo,"K. Mandi Dalam, WiFi, AC, Kloset Duduk, Kasur",-,2500000
Kost Ardina House Keputih Tipe C,Sukolilo,"K. Mandi Dalam, WiFi, Kloset Duduk, Kasur",-,950000
Kost Oma Tipe A,Mulyorejo,"K. Mandi Dalam, WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam",-,1300000
Kost Deby Tipe B,Sukolilo,"WiFi, AC, Kasur",-,1200000
Kost Semolowaru 1,Sukolilo,"WiFi, Kasur, Akses 24 Jam",-,500000
Kost Park Regency Exevutive,Sukolilo,"WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam",-,1150000
Kost Bougenville 4 SPR B21 Deluxe,Sukolilo,"WiFi, AC, Kloset Duduk, Kasur",-,1749999
Kost Obie SPI,Mulyorejo,"K. Mandi Dalam, WiFi, AC, Kloset Duduk, Kasur",-,1500000
Kost Ardina House Keputih Tipe A,Sukolilo,"WiFi, Kloset Duduk, Kasur",-,800000
Kost Azalia Wisper,Mulyorejo,"WiFi, AC, Kloset Duduk, Kasur",-,1500000
